Company Name,Company Type,Registered,Address,City,State,Country,NACE
SME ALTERNATIVE FINANCING DESIGNATED ACTIVITY COMPANY,Dac - Designated Activity Company (Limited By Shares),05/01/2018,"5th Floor, The Exchange ,George'S Dock, Ifsc,Dublin 1, Ireland",Dublin,Leinster,Ireland,"[6499] Other Financial Service Activities, Except Insurance And Pension Funding N.E.C."
UNDERGROUND PROMOTIONS LIMITED,Ltd - Private Company Limited By Shares,05/01/2018,"Marina House, Clarence Street, Dun Laoghaire ,Co. Dublin, ",Dublin,Leinster,Ireland,[8230] Organisation Of Conventions And Trade Shows
BITIRELAND BROKER LIMITED,Ltd - Private Company Limited By Shares,05/01/2018,"Riverside One, Sir John Rogerson'S Quay ,Dublin 2,D02 X576",Dublin,Leinster,Ireland,"[6499] Other Financial Service Activities, Except Insurance And Pension Funding N.E.C."
EJF FUNDING DESIGNATED ACTIVITY COMPANY,Dac - Designated Activity Company (Limited By Shares),05/01/2018,"2nd Floor, Palmerston House, Fenian Street ,Dublin 2, ",Dublin,Leinster,Ireland,"[6499] Other Financial Service Activities, Except Insurance And Pension Funding N.E.C."
JENNY WREN'S CATERING LIMITED,Ltd - Private Company Limited By Shares,05/01/2018,"2 Seaview Avenue, Baldoyle ,Dublin 13, ",Dublin,Leinster,Ireland,[5621] Event Catering Activities
BROADBENT WINES LIMITED,Ltd - Private Company Limited By Shares,05/01/2018,"3rd Floor, Kilmore House, Park Lane, Spencer Dock ,Dublin 1,Ireland",Dublin,Leinster,Ireland,[4634] Wholesale Of Beverages
SOLARIS INDUSTRIAL APPLICATIONS LIMITED,Ltd - Private Company Limited By Shares,05/01/2018,"2 Grand Canal Square, Grand Canal Harbour ,Dublin 2, ",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
PAU FERRER CONSULTANT LIMITED,Ltd - Private Company Limited By Shares,05/01/2018,"206 Trimbleston, Goatstown Road ,Dublin 14, ",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
AL FORAN COMEDY LIMITED,Ltd - Private Company Limited By Shares,05/01/2018,"54 Portmarnock Drive, Portmarnock ,Dublin,D13 W303",Dublin,Leinster,Ireland,[9001] Performing Arts
VVV HOLDINGS LIMITED,Ltd - Private Company Limited By Shares,05/01/2018,"C/O Dli Law, 12 Merrion Square North ,Dublin 2,D02 H798",Dublin,Leinster,Ireland,"[7490] Other Professional, Scientific And Technical Activities N.E.C."
DR. GUTSKNECHT LIMITED,Ltd - Private Company Limited By Shares,05/01/2018,"Clifton House Office 70, Fitzwilliam Street Lower ,Dublin 2, ",Dublin,Leinster,Ireland,[8299] Other Business Support Service Activities N.E.C.
TECTRADE COMPUTERS (IRELAND) LIMITED,Ltd - Private Company Limited By Shares,05/01/2018,"108q House, Furze Road ,Sandyford,Dublin 18",Dublin,Leinster,Ireland,[6209] Other Information Technology And Computer Service Activities
VERMILLION AVIATION (NINE) LIMITED,Ltd - Private Company Limited By Shares,05/01/2018,"46 St Stephens Green, Dublin 2 , , ",Dublin,Leinster,Ireland,[6491] Financial Leasing
